Company Name,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year
Pidilite Industries Ltd.,13209.1,2223.4,507.7,30174.6,3586.4,27108.7,25010.1,23246.2,23246.2,7965.2,3345.1,29751.9,1085653.23,-2431.5,3707.6,3/31/2012,16811.7,3048.2,512.6,36251.8,4739.2,32036.6,29755.2,34371.2,34371.2,12139.7,4607.6,35500.3,1068218.93,-1907.3,5112.7,3/31/2013,19882.7,3066.8,512.6,41688.3,6099.2,37431.6,34917.2,35240.6,35240.6,8786.9,4686.1,41287.6,1065499.59,-1404.2,3981.4,3/31/2014,22981.9,3229.2,512.7,47242,5650.7,42295.8,39268.7,40618.5,40618.5,9462.4,5018.6,46838,1071878.61,-4446.3,5734.7,3/31/2015,25993.2,3425.7,512.7,51336.8,10122.4,43780.5,39235.7,45785.8,45785.8,8304,7467.2,50727.4,1083645.49,-4693.6,9071.8,3/31/2016,33480.8,7429.4,512.7,54209.8,18316.4,46556.1,40742.1,58090.5,58090.5,12606.2,7737.9,53082.2,1077698.51,-7911.9,8091,3/31/2017,35131.5,6621,507.8,56739.2,16649,47272.1,41963.1,65133.6,65133.6,14051,9551.9,54832.4,1072539.38,188.6,7994.6,3/31/2018,41359.2,6151.2,508,63382.6,18691.8,54326.3,48590.8,75678.9,75678.9,16858.6,9794.4,60924.5,1065626.66,-4881.5,8531.5,3/31/2019,44140.2,2748.6,508.1,64844.5,17308.9,53548.5,48157,84517.2,84517.2,18894.2,11016.2,63379.5,1016526,1333.4,12281.7,3/31/2020,55104,10814.6,508.2,62898.2,4470.6,52981.3,47464.4,105742.7,105742.7,29535.2,10814.6,62205.4,1070150.43,-16786.9,12005.2,3/31/2021
Piramal Enterprises Ltd.,111062.7,-2202.6,345.1,17084.3,-10644.8,15909.9,13376.5,176404.1,176404.1,57187,1307.2,11633.4,423174.61,-15554.9,-5116,3/31/2012,105214,-5848.7,345.1,18247.5,-22324.8,20586.8,15376,204324,204324,85829.6,-2315.6,13332.9,417864.34,-14706.6,-10725.9,3/31/2013,90925.7,-14299.3,345.1,23331.2,-54884.5,27406.4,17405.7,210287.3,210287.3,72121.1,-3700,15429.6,413651.92,8129.9,-8937.2,3/31/2014,114123.3,-426.5,345.1,57747.9,-5637.8,54064,19625.1,207617.1,207617.1,41358.9,3727.4,17390.2,406026.62,51757.9,-17737.7,3/31/2015,127661,2168.4,345.1,39691.8,-57792.7,30199.1,19728.5,317063.6,317063.6,88110.7,9957,18904.4,385799.87,-85809.4,97.6,3/31/2016,143880.9,7767.8,345.1,43898.4,-45839.5,35937.7,20624.5,303047.2,303047.2,84603.2,7767.8,21380.7,381193.66,-92437.7,4716.8,3/31/2017,169430.8,832.7,360.5,39394,-68445.7,34426.6,20542.2,418547.7,418547.7,114729.6,5184.7,20379,396897.73,-44033.9,-49104.7,3/31/2018,160910.9,-14107.8,368.9,41424.9,-112232.4,50022.8,20043.7,431667.4,431667.4,138225.3,-8680.1,21811.9,393126.85,-93289.1,67468.7,3/31/2019,210555.2,-4120.1,451.1,29425.7,-67797.2,28131.6,3403.7,396195.1,396195.1,96710.2,1448.5,2010.5,393162.65,18868.8,11335.1,3/31/2020,216112.8,-2758.5,451.1,22559.8,-11669.7,22694,7148.6,357523.9,357523.9,44201.2,399,5376.4,379224.69,26789.4,22566.7,3/31/2021
Poly Medicure Ltd.,818.7,153.8,110.1,2123.1,99.1,1942.4,1568.5,1809.7,1809.7,599,192.2,2116.6,72371.19,-262,327.5,3/31/2012,1000.2,188.3,110.1,2568.4,173.3,2339.5,1893.6,2132.6,2132.6,668.1,239.9,2564.7,70026.43,-300.7,383.3,3/31/2013,1222.6,326.8,220.3,3280.8,213.8,2885.7,2408,2837.4,2837.4,878.7,429.9,3171,69388.69,-578.9,652.7,3/31/2014,1699.2,471.2,220.6,4063.1,368.5,3489.1,2974.8,3558.4,3558.4,1076.4,604.6,3785.1,67547.41,-565.1,633.3,3/31/2015,2017.9,314.5,220.6,4086,505.4,3593,3113.4,3779.6,3779.6,1033.7,473.1,4002,66420.58,-302.5,618.7,3/31/2016,2250.7,429.2,441.1,4602.2,747.1,4082.9,3563.5,4505.6,4505.6,1085.7,562,4463.5,67940.6,-541.8,550.2,3/31/2017,2904,648.9,441.1,5240.7,997.9,4638.1,3972.9,5574.6,5574.6,1167.5,702,5097.6,68141.99,-870.8,755.1,3/31/2018,3356.5,450,441.2,6027.4,1226.8,5405.7,4567,6635,6635,1628.6,662.8,5867.7,66593.2,-1042.6,1131.9,3/31/2019,3851.5,498.2,441.2,6647.4,978.4,5801.3,4910.5,7769.5,7769.5,2087,923.8,6462.5,67389.17,-1056.7,1269,3/31/2020,9060.7,1295.1,479.4,7668.2,4956.7,6395.4,5387.8,12367.2,12367.2,1960,1295.1,7474.5,64142.94,-4344.1,1163.8,3/31/2021
Polycab India Ltd.,12229.4,687.7,706,41411.1,4410.5,40083.1,37358.6,26911.4,26911.4,13529.3,768.9,41333.3,362140.68,-761.2,5035,3/31/2013,12915.4,849.8,706,42621.2,3890.6,41873.9,38967.9,26672.3,26672.3,12468.1,932.4,42478.3,345913.82,,,3/31/2014,13515,1334.5,1412.1,47268.2,3350.4,47125,44058.3,32236.3,32236.3,16707.6,1500.4,46995.3,347352.37,-1756.8,2065.2,3/31/2015,16407.2,1599.9,1412.1,57320.1,6124.7,56009.4,52895.9,39885.1,39885.1,20206.1,1897.3,57197.3,348608.64,,,3/31/2016,18634.9,2229.3,1412.1,61259.6,6671.8,61053.9,57460.4,46604.3,46604.3,23948.7,2399.2,60390,333937.15,-2698.4,2843.3,3/31/2017,22066.1,3413.9,1412.1,70016.3,10518.4,65730.3,60600,46177.6,46177.6,19655.9,3583.9,69024.4,321800.64,-1780,3520,3/31/2018,27077.3,5014.4,1412.1,80114.4,13252.4,76156.9,70246.6,57507.9,57507.9,27519.9,5014.4,79105.5,331439.56,-3956.6,12239.5,3/31/2019,36886.9,5815.5,1488.8,89038,20557.9,83797,78639.3,61547.4,61547.4,21556.2,7609.5,87271,319400.26,-2571.4,2339.3,3/31/2020,45576.1,8313.3,1491.2,89614.4,28623.4,80599.4,75789.6,68996.7,68996.7,20616.5,8313.3,86849.1,319887.83,-10376.3,11747.8,3/31/2021,53706.5,7821.1,1494.4,123299.3,34258,118672.8,113276.3,74747.3,74747.3,18176.7,9312.7,120795.7,311450.04,-3599.5,4608.8,3/31/2022
Power Finance Corpn. Ltd.,197638,21113,13199.3,130520.8,-135975.9,100203.4,3069.4,1355915.5,1355915.5,182711.2,30317.4,653.7,289352.92,-415.7,-269981.6,3/31/2012,222561.3,33446.8,13200.2,174221.3,-153927.4,130025.3,3782.4,1692366.1,1692366.1,235798.6,44196,1155.6,292389.02,-931.7,-250893.6,3/31/2013,260545.7,40278.1,13200.4,215451.8,-184626.9,161274.3,4342.1,1941873.8,1941873.8,232030.4,54177.5,1426.4,286580.84,-1896.9,-221704.9,3/31/2014,308991.7,45178.7,13200.4,252482.9,-189473.6,192889.6,6388.3,2286756.6,2286756.6,299850.7,59593.3,937.8,284336.77,-4715.6,-214620.6,3/31/2015,344459.9,39057.6,13200.4,278665.2,-291359,217530.4,6351.1,2466550.6,2466550.6,362409.5,61134.8,667.1,276812.54,-18558.5,-133389.7,3/31/2016,338301.3,5376.2,26400.8,276063.5,-272928.4,254799.6,6986.4,2638351.9,2638351.9,395218.3,21263.9,219.8,270872.35,-4752.2,20865.4,3/31/2017,343160.7,19231,26400.8,263848.1,-95579.9,219980.4,7561.4,2977179.9,2977179.9,308450.9,43867.7,,269420.31,14324,-247083.9,3/31/2018,406479.1,69529.2,26400.8,302592,20518.3,233062.8,8683.7,3617665.2,3617665.2,295719.5,69529.2,,263348.12,-138218.2,-444996.9,3/31/2019,425240.5,28822.7,26400.8,344782.5,-23060.8,288231.1,7808.3,3787062.7,3787062.7,295377.3,56551.4,,261104.05,158.7,-84862.7,3/31/2020,497530.4,63319.4,26400.8,389289.5,-1560.3,304849.4,8181.8,4093622.4,4093622.4,316235.2,84440.1,,260312.03,8809.2,-175146.8,3/31/2021
Power Grid Corpn. Of India Ltd.,188580.5,21207.8,46297.3,108219.6,-50573.6,75673.2,13988.5,957529,957529,134567.7,32546.4,101285.9,1568779.35,-158343.3,64025.3,3/31/2012,216097.4,27516.9,46297.3,135125.9,-87455.2,92791.7,18183,1173060.3,1173060.3,147291.1,42334.2,128052.1,1567035.49,-219021.3,112374.7,3/31/2013,292280.4,29151.6,52315.9,157277.4,-105656.6,112361.1,22346.4,1463320.9,1463320.9,195383.6,44916.3,152492.1,1568081.8,-264928.9,153745.9,3/31/2014,329350,37070.1,52315.9,177702.9,-141263.9,128094,23292,1669985.5,1669985.5,218918.5,49608.9,171942.5,1565989.17,-239413.8,151397,3/31/2015,385796.4,46232.2,52315.9,214468.7,-147292.3,154983.7,22728.2,1885054,1885054,281471.8,59485,207593.4,1550643.17,-209624.1,151197.6,3/31/2016,445756.6,59422.7,52315.9,268029.7,-137675.1,192828.2,30231.5,2080053.9,2080053.9,292384.2,75201.5,259685,1562501.44,-234966.6,212509,3/31/2017,491833.7,45996.8,52315.9,343023.8,-148258.2,260577.3,34946.8,2301673.4,2301673.4,323610,82446.5,332111.3,1549945.63,-234023.7,218807.8,3/31/2018,537855.5,45141.1,52315.9,327897.2,-144587.7,228511.7,41735.1,2598863.3,2598863.3,384761.6,99385.5,308782.7,1509139.23,-223329.8,231489.2,3/31/2019,592081,55265.7,52315.9,407050.6,-80695.2,298938.8,45335.4,2709721.8,2709721.8,326004.3,108111.8,375865.8,1475657.05,-96019.8,292394.7,3/31/2020,643472.5,51137.9,52315.9,415747.3,-69019.6,296389.5,45191.9,2740857.2,2740857.2,354365.9,119357.8,385317.2,1452638.06,-77298.5,275324.6,3/31/2021
Praj Industries Ltd.,5148.7,324.1,359.1,9540.8,2763.4,8912.8,8252.5,10964.5,10964.5,5132.5,658.2,9108.6,58747.84,370.5,104.5,3/31/2012,5325.4,325.4,354.9,7864.3,2399.5,7260.8,6869.7,10654.5,10654.5,4615.8,661.8,7572.6,61319.26,211.6,202.7,3/31/2013,5488.5,163.1,354.9,8303.6,2236,7579.2,7073.8,11850.6,11850.6,5620.8,624.1,8082.6,61548.85,160.6,272.2,3/31/2014,5799.3,339.4,354.9,8833,2915.9,8117.1,7547.3,10961.5,10961.5,4445.9,685.4,8313.6,60740.69,-728.7,1411.9,3/31/2015,6218.8,-38.9,355.9,8753.5,3124.2,8104.5,7616.9,11456.3,11456.3,4514.8,654.1,8579.8,57407.02,-103.8,545,3/31/2016,6789.8,468.6,358.9,7786.9,3586.5,7355.3,6908.1,11779.9,11779.9,4150.7,468.6,7592.3,58104.98,-125.2,168.9,3/31/2017,6870.9,-35.7,361.9,7317.5,3849.4,6992.2,6549.9,11453.5,11453.5,3746.3,314.8,7019.6,60391.71,-665.5,1018.8,3/31/2018,6996.4,159.6,365.3,9517.3,3647.3,8919.8,8365.9,12739.9,12739.9,4924.6,624.1,9232.8,61218.24,-36,43.1,3/31/2019,6677.1,-306,366.3,9756.3,3816.6,9092.8,8488.6,11856.9,11856.9,4181.2,647.1,9418.4,62687.62,671.9,135.7,3/31/2020,7403.4,712.4,366.5,11117.6,4373.6,10369.8,9819.9,15983.6,15983.6,7569,712.4,10885.4,60602.94,-1553.5,2099.5,3/31/2021
Prestige Estates Projects Ltd.,17989.5,832.9,3280.7,7997.4,2905.1,10175,8518,47534.1,47534.1,24286.7,1290.7,7454.7,170506.5,-4174.5,1947.3,3/31/2012,23584,2269.3,3500,16066.9,-2515.3,16206.7,13814.4,62674,62674,33408,2760.7,13770.9,168381.94,-3656.4,75.8,3/31/2013,26210.7,2786,3500,21524.5,-6236.9,21513.5,18138.9,71875.1,71875.1,39330.5,3400.2,18522.4,168722.67,-2551.4,35.6,3/31/2014,35195.1,3423,3750,25758.2,986.8,29717.6,25592.8,92028.5,92028.5,48675.4,4142.3,23743.4,167840.77,-3810.3,-4122.9,3/31/2015,37790,2789,3750,34093,-2266,30983,27530,118834,118834,65736,4007,29609,164293.15,-8423,-1631,3/31/2016,43622,5903,3750,25644,-8971,23826,21309,125329,125329,70865,5903,18655,163491.43,234,-1062,3/31/2017,45402,1779,3750,31038,-23582,27567,22985,139972,139972,80814,2320,28079,169263.83,-8835,1456,3/31/2018,38749,2349,3750,25794,-24626,36948,31978,184312,184312,125579,2892,21523,162769.87,-2507,753,3/31/2019,48664,1248,4009,35765,-24993,30751,20969,197302,197302,128204,2624,29753,164914.48,-3895,2197,3/31/2020,50800,2128,4009,42286,-2872,31820,22572,183447,183447,117293,2128,38715,154652.43,-7494,28846,3/31/2021
Prince Pipes & Fittings Ltd.,679.9,90,120,257.4,-562.6,167.4,0,3908.2,3908.2,2496.6,90,,67950.84,-337.2,18,3/31/2012,865.8,383.1,240,8530.7,-179.9,8147.6,7818.8,5491.3,5491.3,3231.7,383.1,8530.6,66519.07,-777.9,324.2,3/31/2013,955.8,329.9,480.1,10898.2,75.6,10389.4,9610.1,5951.7,5951.7,3379.3,329.9,10831.2,66823.12,,,3/31/2014,1123.7,171.6,480.1,10361.5,120.4,10264,9544,5958,5958,3327.1,171.6,10340.9,67243.25,,,3/31/2015,1434.9,311.1,480.1,10852.2,314.8,10468,9733.6,6525.4,6525.4,3392.3,311.1,10840.9,65966.27,,,3/31/2016,1961.6,624,450.1,13324.9,601.7,13222.8,12324.7,8483.9,8483.9,4136.9,651.7,13300.1,66126.58,-679,946.3,3/31/2017,2259.3,735,900.2,13265.6,295.7,12716.3,11721.6,10524.5,10524.5,5484.2,735,13221.3,66320.06,-1702.7,1609.3,3/31/2018,3089,821.3,900.2,15790.1,-76.1,14764.6,13663.1,11346.6,11346.6,5865.8,821.3,15722.4,66331.12,-1050.5,2186.4,3/31/2019,7276.6,992.5,1100.3,16433.4,3090.8,16201,14872.5,15236.9,15236.9,5997.4,1125.1,16356.6,64761.15,-3676.8,1023,3/31/2020,9334.6,2053.3,1100.3,20891.1,4270.6,18223.8,16531.2,17590,17590,6693.1,2218.3,20715.1,61234.25,-855.9,3072.8,3/31/2021
Prism Johnson Ltd.,5863.5,-594.8,5033.6,51566.2,-4023.6,52399.3,48928.5,42067.3,42067.3,17341.9,-594.8,51494.3,54337.34,-2721.4,2446.6,3/31/2013,5047,-816.5,5033.6,55152.3,-2119.8,56277.3,52307.3,43470.2,43470.2,16382.5,-816.5,53619,55042.04,94.5,-147.3,3/31/2014,5120.1,147,5033.6,61285.6,-566.1,61262.9,57387.9,45930.4,45930.4,16963.3,147,60243.5,54840.7,-721.1,2307.1,3/31/2015,4371.3,81.1,5033.6,58311.3,-3044.5,58098.9,54086,45633.9,45633.9,18395.9,81.1,57503.9,54765.2,-1032.8,3716.3,3/31/2016,4522.9,175.1,5033.6,55552.4,-6064.4,55241.4,51375,43715.7,43715.7,19730.4,175.1,55237.7,54312.17,-1681.9,5431,3/31/2017,5224.7,704.1,5033.6,55992.8,-5908.9,54615.9,50562.6,44678.5,44678.5,20802.8,704.1,55507.4,53481.64,-1947.8,4589.5,3/31/2018,6387.5,1156.4,5033.6,62489.2,-3751.5,61783.4,57091.8,46629.9,46629.9,19891,1459.8,62239.5,53255.13,-2460.9,4979.2,3/31/2019,4384.6,-354.2,5033.6,59537.5,-1530.7,59720.5,53829.9,52936.3,52936.3,22035.2,252.6,59136.5,51166.2,-5854.8,5194.7,3/31/2020,6358.5,1999.5,5033.6,54309.3,-1127.3,50906.2,45969.8,52296.4,52296.4,20432.3,1999.5,53566.8,50562.17,-1273,12088.7,3/31/2021,7655.2,1332.5,5033.6,59836.5,-2646.7,59283.1,53627.7,52351.2,52351.2,21799,1332.5,58762,49857.47,-2360.2,5267.6,3/31/2022
Procter & Gamble Health Ltd.,3934.8,636.8,166,6291.9,2551.2,6054.6,5645.8,8553.4,8553.4,801.8,636.8,5980.3,72240.51,-90.8,187.9,12/31/2011,4670.6,735.8,166,7277,3402.7,6458.1,5971.4,10273.4,10273.4,1998,784,7075,72736,-818.2,542.6,12/31/2012,5064.3,393.7,166,8475.4,3630,8208.1,7767,11286.6,11286.6,2386.6,558.8,8260.9,71201.39,70.4,4.5,12/31/2013,5377,312.7,166,9182.1,3615.4,8910.2,8533,12175.7,12175.7,2633,432.2,8978.8,70949.08,105.7,49.5,12/31/2014,5749.5,385.8,166,9973,4074.2,9453.6,8875.6,12990.7,12990.7,2964.1,535.6,9741.7,69207.8,-678.4,834.7,12/31/2015,6472.2,641.3,166,10546.9,4351.4,9773.4,9067.4,13994.6,13994.6,3135.7,791.3,10298.6,68316.42,-749.7,1070.4,12/31/2016,7166.6,719.3,166,11681.7,4444.9,10719.7,9637.7,15524.7,15524.7,3574.2,939.1,11194.5,68874.16,-476.4,536.7,12/31/2017,15235.1,8086.7,166,22413.7,12588.5,14061.2,7075.8,22494,22494,1945.8,8387.2,8498.9,66829.11,12697.2,-1303.9,12/31/2018,8897.4,-6264.5,166,14338.2,6477.3,11927.7,10500,18173.3,18173.3,2280.4,2540.8,13591.1,66266.39,1646.4,2353.7,6/30/2020,6871.1,-2049.8,166,10290.5,4169.7,8477.1,7561.9,16877.9,16877.9,2407.5,1768,10108.2,65982.54,-322.7,2472.6,6/30/2021
Procter & Gamble Hygiene & Health Care Ltd.,6645.8,964,324.6,14149.2,165.7,12503,11674.7,14778.8,14778.8,3996.1,1812.9,13045,450748.16,-464.5,1800.6,6/30/2012,7728.6,1082.8,324.6,18241.2,-85.8,16542.9,15272,12612.3,12612.3,4417.4,2032.2,16990.2,449099.15,-320.7,1042,6/30/2013,9704.4,1975.8,324.6,21879.5,534.9,18810.5,16758.6,15192.7,15192.7,5025,3020.2,20687.5,443373.08,-1351.5,3352,6/30/2014,11962.2,2279.6,324.6,24804.4,2169.6,21355.4,19034.1,19627.2,19627.2,7162.3,3461.4,23599.5,438701.98,283.7,4255.7,6/30/2015,16193.2,3043.2,324.6,24829.3,9065.7,20711.4,17858.9,21815.3,21815.3,5123.8,4225,23491.5,432029.67,2210.5,3524.6,6/30/2016,4936.6,-11222.5,324.6,25335.1,-886.4,21518.9,18291.7,11801.6,11801.6,5837.6,4327.3,24191.6,437726.53,1492.9,4452.6,6/30/2017,7730.4,2691.1,324.6,25034.8,1535.5,20672.5,17685.4,14528.3,14528.3,5725.8,3745.9,24552.9,434837.53,-194.6,4154.7,6/30/2018,8766,1060.5,324.6,30413.2,3347.9,26599.2,23739.3,16428.7,16428.7,6449.3,4191.3,29468.5,433044.07,343.2,4129.7,6/30/2019,11254,2452.4,324.6,30536.3,7161.7,26283.7,23701,18510.5,18510.5,5981.6,4330.8,30019.9,432781.14,747.2,4737.5,6/30/2020,6818.1,-4518.8,324.6,36317.6,2504.8,29901.9,26953.1,16507.9,16507.9,8376.3,6517.9,35741.4,432776.27,69.4,8631.2,6/30/2021
Punjab & Sind Bank,38147.4,3749.9,2342.1,68675,27812.3,64162.1,8715.3,729052.6,729052.6,20364,4512.9,,102344.58,-15280.6,5977.4,3/31/2012,41500.8,2403.4,2540.2,77656.2,30530.8,74264,9100.7,804886,804886,25815.7,3392.2,,103361.24,-25416.9,32765.6,3/31/2013,45360,1852.1,2752.8,84522.4,55439.6,81751.1,10872,946242.1,946242.1,23857.4,2771.3,,104039.02,-58149.6,84605,3/31/2014,51957.6,919.1,4004.1,90351.7,64632.7,89138.2,11137.7,978483.3,978483.3,22928.8,1213.5,,101666.8,42155.7,-74248.7,3/31/2015,55698,2564.5,4004.1,92924,85527.3,89564.3,13386.6,1025814.2,1025814.2,14004.8,3359.7,,97261.24,-37087.4,48096.1,3/31/2016,57420.5,2010.8,4004.1,88961.8,79208.9,86951,14531,966954.1,966954.1,11666.3,2010.8,,96583.46,-3566.5,585.4,3/31/2017,56177.6,-7438,5649.1,86491.6,114670.4,93929.6,16075.7,1138227.1,1138227.1,11293.4,-7438,,96244.57,-52038.2,64911.9,3/31/2018,51364.9,-5434.8,5649.1,94259.1,102359.5,99693.9,17258.4,1090644.9,1090644.9,9892.5,-5434.8,,94211.23,64898.5,-57792.8,3/31/2019,48953.5,-9908,7010.5,88395.8,134317.8,98303.8,18041.4,1005038,1005038,11511.6,-9908,,90822.34,13392.9,4704.9,3/31/2020,43103.5,-27329,40526.7,78775.3,111002.4,106104.3,22913.6,1104818.8,1104818.8,26309.2,-27329,,89805.67,-80182.6,20938.5,3/31/2021
Punjab National Bank,323234.2,36341.6,3534.7,468980.1,212404.6,421472.8,71818.2,4789654.8,4789654.8,150898.5,47507.3,,343543.69,-77285.3,25393.2,3/31/2013,355332.5,29218.3,3620.7,492852,389685.6,459397.6,83211,5507482.7,5507482.7,150934.4,33454.4,,343543.69,-150740.5,244902.8,3/31/2014,387086.1,23268.7,3709.1,542153.4,480114.5,511507.8,101213.2,6037434.3,6037434.3,172048.9,30645.6,,342442.58,-94654.3,228992.9,3/31/2015,379174.2,-39686,3927.2,588835.8,715958.6,628521.8,95767.4,6678009.6,6678009.6,162739.5,-39686,,340240.38,-7827.4,170453.8,3/31/2016,416718.6,13248,4255.9,590335.4,889446.9,577087.4,89543.4,7208302.6,7208302.6,157657.4,13248,,331431.57,-5271.9,124970.6,3/31/2017,405221.8,-122828.2,5521.1,669830.7,880792.8,792658.9,129329.1,7668469.8,7668469.8,216788.6,-122828.2,,329229.37,-12880.1,10116.9,3/31/2018,438663.2,-99754.9,9208.1,647746.5,744882.1,747501.4,109604.6,7754539.6,7754539.6,148062.8,-99754.9,,329229.37,-2603.7,-308925.1,3/31/2019,610099.7,3361.9,13475.1,643696.1,738690.1,640334.2,113656.9,8310551.2,8310551.2,142366.9,3361.9,,319870,-2394.8,-126126,3/31/2020,888417.7,20216.2,20955.4,955236.1,1358491.3,935019.9,193338.4,12617679.9,12617679.9,205225.2,20216.2,,319870,-8391.7,11921.3,3/31/2021,932846.9,27522.5,22022,888966.7,1573527.6,854397.1,193639.9,13159753.5,13159753.5,274182.8,34569.6,,313263.39,-11073.5,203636.2,3/31/2022
Quess Corp Ltd.,,,,,,,,,,,,,100426.39,,,,,,,,,,,,,,,,100330.2,,,,615.3,60.8,190,6173.6,-187,6112.8,6046.3,2862.2,2862.2,1262.6,60.8,6164.3,98746.7,-633.6,47.5,12/31/2013,2337.1,637.4,257.7,23798.5,947.4,23161.1,22386.4,6382,6382,3669.8,637.4,23732.8,97059.61,-426.3,219.7,3/31/2015,2196.9,785.5,1133.4,29337.5,-178,28552,27640.1,11272.2,11272.2,7770.6,785.5,29181.8,97266.79,-379,-131.4,3/31/2016,6702.5,947.9,1267.9,34592.6,1683.2,33644.7,32474.9,24314.5,24314.5,9736.4,947.9,34429.2,92849.28,-5152.6,498.9,3/31/2017,22160,2592.6,1454.8,45142.3,7351.1,42549.7,41670.9,39174,39174,10724,2592.6,44108,93838.13,-8922.4,828.1,3/31/2018,24749.6,2340.3,1460.9,57457.5,5617.4,55117.2,53569.4,41865.5,41865.5,9623.7,2340.3,56947.9,91083.84,364.7,1130.1,3/31/2019,21709.6,-3369.1,1475.1,77927.2,1772.2,81296.3,73954.8,42335.1,42335.1,14327.2,-3369.1,77402.3,91017.21,-3189.2,1400,3/31/2020,20768.2,-998.5,1476.8,75138,5072.8,76136.5,72855.5,37450.8,37450.8,9373.8,-998.5,74834.1,92720.13,716,2551.9,3/31/2021
R B L Bank Ltd.,9282.4,582.5,2149.5,5341.2,6659.9,4683.9,1313.1,72088.6,72088.6,1242.5,657.3,,66156.48,-13791.6,5151.3,3/31/2012,13538.2,747,2529.2,10057.6,7697.9,9132.9,2140.6,129685.2,129685.2,2787.5,924.7,,66755.99,-32860.4,14672,3/31/2013,16132.3,639.1,2720.4,16136.8,12127.4,15210.1,4029.6,181981.5,181981.5,6892.2,926.7,,68254.78,-10084.3,270.5,3/31/2014,19369.8,1633.3,2934.5,23585.6,21489.5,21513.9,5664.4,271422.5,271422.5,8122.9,2071.7,,67955.02,-36209.5,13020.7,3/31/2015,26645.1,2338,3247.3,32383.2,20966.6,29458.4,7190,392043.1,392043.1,12869.7,2924.8,,52697.37,-54016.7,9570.3,3/31/2016,39603.8,4460.5,3752,44686.2,37597.4,40225.7,9948.8,486887.4,486887.4,17713.5,4460.5,,52427.58,-2505.7,35420.4,3/31/2017,62643.1,5529.2,4196.7,55893.8,38398.4,49542.9,14164.6,618569.7,618569.7,20030.8,6350.9,,53206.95,518.1,-27418.1,3/31/2018,71206.2,7599.5,4267.1,77430.8,62467.5,68761.3,19201.1,803646.5,803646.5,25850.2,8669.5,,49190.2,-1627.4,-585.7,3/31/2019,100742.6,2744.6,5087,104924.9,88246.8,99868.2,26872.7,889777.8,889777.8,35758.6,5056.7,,48800.52,-526.3,-52370.3,3/31/2020,120645.7,5077.8,5980.2,102772.9,146592.1,97695.1,25963.1,1006506.2,1006506.2,36408.7,5077.8,,46162.65,-14904.3,89305.4,3/31/2021
