,Year,Company,Paid up equity capital (net of forfeited equity capital),Reserves and funds,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Equity,Retained profits/losses during the year,Net working capital,Market Capitalisation,Operating expenses of non-finance cos
86,3/31/2018,Abbott India Ltd.,21.25,1671.52,3426.84,3127.82,2443.21,2443.21,679.46,401.22,3351.5,152.7,-214.83,1692.77,298.92,1319.1,38023.71,2878.81
87,3/31/2019,Abbott India Ltd.,21.25,1987.34,3795.17,3347.02,2969.49,2969.49,868.08,450.33,3677.61,499.12,-257.0,2008.59,309.44,1809.03,37909.71,3071.12
88,3/31/2020,Abbott India Ltd.,21.25,2410.45,4228.47,3574.3,3571.22,3571.22,902.41,592.93,4114.3,626.13,-401.21,2431.7,426.42,2267.52,38509.05,3287.36
89,3/31/2021,Abbott India Ltd.,21.25,2580.91,4415.14,3828.45,3865.79,3865.79,1042.4,690.69,4331.22,726.74,-71.82,2602.16,159.46,2444.17,38195.73,3506.26
90,3/31/2012,Adani Enterprises Ltd.,109.98,9892.08,5766.4,5558.85,14214.89,14214.89,3016.7,361.72,5274.85,201.59,-724.56,10002.06,233.9,296.64,252875.05,5200.28
91,3/31/2013,Adani Enterprises Ltd.,109.98,10256.96,12833.06,12397.29,20351.48,20351.48,8052.33,545.02,11886.77,-43.83,-2967.32,10366.939999999999,364.88,-2924.19,250931.35,11714.26
92,3/31/2014,Adani Enterprises Ltd.,109.98,9924.29,13019.64,13503.12,22689.81,22689.81,10250.24,-152.53,11786.44,387.03,-1051.42,10034.27,-332.67,-5174.55,237285.53,12248.11
93,3/31/2015,Adani Enterprises Ltd.,109.98,10168.08,16434.67,15517.02,22768.32,22768.32,9598.25,433.02,14915.4,-156.76,1863.21,10278.06,247.7,-3951.93,250401.25,13907.3
94,3/31/2016,Adani Enterprises Ltd.,109.98,3435.1,9186.84,8615.3,14619.65,14619.65,8352.13,520.11,8147.25,-704.23,1130.11,3545.08,322.08,-3929.37,249010.44,7603.15
95,3/31/2017,Adani Enterprises Ltd.,109.98,3657.2,9282.19,9090.88,14912.04,14912.04,8978.89,221.64,7776.6,-156.13,645.69,3767.18,221.64,-3852.42,237445.13,7139.86
96,3/31/2018,Adani Enterprises Ltd.,109.98,3798.41,11861.63,12394.66,15673.16,15673.16,9820.26,197.03,9530.32,986.12,171.64,3908.39,144.08,-3466.37,238949.93,9557.88
97,3/31/2019,Adani Enterprises Ltd.,109.98,3138.83,15943.23,16061.26,14947.94,14947.94,10414.26,487.24,15341.29,1907.96,2396.77,3248.81,434.21,-2383.82,237485.03,14787.13
98,3/31/2020,Adani Enterprises Ltd.,109.98,3651.02,16934.44,15859.28,14092.17,14092.17,9020.4,698.89,16207.8,601.38,91.27,3761.0,513.26,-2038.64,246342.84,14709.75
99,3/31/2021,Adani Enterprises Ltd.,109.98,4018.01,13750.94,12948.1,13187.8,13187.8,7467.45,368.81,13345.47,1557.26,-1317.55,4127.99,368.81,-2788.04,238169.03,11848.52
100,3/31/2016,Adani Green Energy Ltd.,160.0,-0.89,722.0354438451154,0.89,276.01,276.01,81.93,-0.89,603.16424248952,0.1,-224.44,159.11,-0.89,-78.01,278417.47,0.13
101,3/31/2017,Adani Green Energy Ltd.,1273.9,-50.15,17.75,67.05,1781.0,1781.0,141.82,-49.3,9.91,-23.74,-1541.07,1223.75,-49.3,-106.65,270837.87,30.07
102,3/31/2018,Adani Green Energy Ltd.,1564.02,-120.12,1786.08,1832.3,5326.79,5326.79,1615.19,-46.22,1718.76,-662.83,-2242.46,1443.9,-46.22,-582.47,271471.49,1697.34
103,3/31/2019,Adani Green Energy Ltd.,1564.01,-155.2,625.21,909.52,5411.7,5411.7,1508.03,-34.98,358.33,534.31,184.83,1408.81,-34.98,-373.38,276326.55,603.04
104,3/31/2020,Adani Green Energy Ltd.,1564.0,-125.0,1580.0,1611.0,6395.0,6395.0,2980.0,134.0,1247.0,1490.0,-896.0,1439.0,134.0,-699.0,286551.48,1453.0
105,3/31/2021,Adani Green Energy Ltd.,1564.0,157.0,3128.0,4778.0,14298.0,14298.0,9658.0,364.0,2473.0,-718.0,-2274.0,1721.0,364.0,-3931.0,275114.76,4458.0
106,3/31/2012,Adani Ports & Special Economic Zone Ltd.,400.68,4817.95,2522.15,1344.89,13178.04,13178.04,2790.53,1177.26,2308.45,1287.44,-3819.17,5218.63,944.42,-1805.28,155343.93,719.71
107,3/31/2013,Adani Ports & Special Economic Zone Ltd.,400.68,6300.48,3564.29,1810.11,18256.74,18256.74,2971.79,1754.18,2980.49,1369.84,-2445.86,6701.16,1519.79,1194.6,153442.79,871.3
108,3/31/2014,Adani Ports & Special Economic Zone Ltd.,414.01,8919.07,5032.29,3016.12,20905.83,20905.83,1870.56,2016.17,4113.86,1601.61,-2313.63,9333.08,1766.19,1756.73,146873.31,1551.88
109,3/31/2015,Adani Ports & Special Economic Zone Ltd.,414.01,10786.34,4740.15,2557.01,25808.55,25808.55,4347.51,2183.14,3814.01,1990.31,-3556.48,11200.35,1909.07,-772.92,148858.94,1226.82
110,3/31/2016,Adani Ports & Special Economic Zone Ltd.,414.19,12985.74,5867.24,2902.74,32056.66,32056.66,6490.09,2964.5,4637.33,1712.96,-2953.73,13399.93,2416.25,-2373.39,148626.58,1163.59
111,3/31/2017,Adani Ports & Special Economic Zone Ltd.,414.19,16284.78,6363.86,3263.25,40312.68,40312.68,5479.38,3100.61,4703.81,2312.51,-5840.83,16698.97,3100.61,2472.1,143546.32,1214.62
112,3/31/2018,Adani Ports & Special Economic Zone Ltd.,414.19,17703.19,8141.14,5733.04,42185.69,42185.69,3081.99,2408.1,6196.46,2411.25,-550.04,18117.379999999997,2084.07,5618.82,141307.21,1945.73
113,3/31/2019,Adani Ports & Special Economic Zone Ltd.,414.19,19911.6,7734.66,5096.94,48994.65,48994.65,8378.37,2637.72,5267.46,3214.41,-2403.12,20325.789999999997,2223.53,1703.73,140198.21,1490.3
114,3/31/2020,Adani Ports & Special Economic Zone Ltd.,406.35,19292.29,7672.92,5738.67,53061.41,53061.41,6607.48,1934.25,4625.1,3169.95,-31.35,19698.64,1242.67,3172.49,145531.95,1574.95
115,3/31/2021,Adani Ports & Special Economic Zone Ltd.,406.35,21228.4,7361.94,5434.01,59862.17,59862.17,5159.37,1927.93,4380.2,3041.8,-7966.6,21634.75,1927.93,2572.83,141191.03,1490.06
116,3/31/2012,Adani Power Ltd.,2180.04,3848.75,4194.27,4488.19,36118.5,36118.5,10714.13,-293.92,3951.27,540.78,-9047.25,6028.79,-293.92,-8530.52,111079.84,2544.45
117,3/31/2013,Adani Power Ltd.,2393.27,2256.5,6919.68,8871.71,37983.39,37983.39,11348.24,-1952.03,6340.13,1947.1436486530504,-4410.764672715736,4649.77,-1952.03,-8495.12,107994.29,5402.51
118,3/31/2014,Adani Power Ltd.,2871.92,4915.24,11473.83,10878.57,40961.14,40961.14,12754.12,595.26,10026.29,3385.89,-30.89,7787.16,595.26,-9175.95,102633.15,7260.79
119,3/31/2015,Adani Power Ltd.,2871.92,4844.23,11513.64,11582.27,40506.15,40506.15,13645.27,-68.63,10629.14,2393.28,-2575.38,7716.15,-68.63,-8532.31,102903.13,8131.03
